your 131072x1 screen size is bogus. expect trouble
UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 15:53 ?        00:00:00 /sbin/init
root           2       1  0 15:53 ?        00:00:00 /init
root           7       2  0 15:53 ?        00:00:18 plan9 --control-socket 7 --log-level 4 --server-fd 8 --pipe-fd 10 --log-truncate
root          64       1  0 16:00 ?        00:00:00 /lib/systemd/systemd-journald
root          89       1  0 16:00 ?        00:00:03 /lib/systemd/systemd-udevd
root          99       1  0 16:00 ?        00:00:00 snapfuse /var/lib/snapd/snaps/core20_2769.snap /snap/core20/2769 -o ro,nodev,allow_other,suid
root         100       1  0 16:00 ?        00:00:00 snapfuse /var/lib/snapd/snaps/micro-xrce-dds-agent_145.snap /snap/micro-xrce-dds-agent/145 -o ro,nodev,allow_other,suid
root         103       1  0 16:00 ?        00:00:03 snapfuse /var/lib/snapd/snaps/snapd_26865.snap /snap/snapd/26865 -o ro,nodev,allow_other,suid
systemd+     119       1  0 16:00 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     125       1  0 16:00 ?        00:00:00 /lib/systemd/systemd-timesyncd
avahi        216       1  0 16:00 ?        00:00:00 avahi-daemon: running [Lace-2.local]
root         218       1  0 16:00 ?        00:00:00 /usr/sbin/cron -f -P
message+     219       1  0 16:00 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         224       1  0 16:00 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         225       1  0 16:00 ?        00:00:00 /usr/libexec/polkitd --no-debug
syslog       226       1  0 16:00 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         229       1  0 16:00 ?        00:00:02 /snap/snapd/current/usr/lib/snapd/snapd
root         232       1  0 16:00 ?        00:00:00 /lib/systemd/systemd-logind
root         233       1  0 16:00 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        238     216  0 16:00 ?        00:00:00 avahi-daemon: chroot helper
root         263       1  0 16:00 hvc0     00:00:00 /sbin/agetty -o -p -- \u --noclear --keep-baud console 115200,38400,9600 vt220
root         265       1  0 16:00 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear tty1 linux
root         271       1  0 16:00 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         471       2  0 16:00 pts/1    00:00:00 /bin/login -f
aaryan       520       1  0 16:00 ?        00:00:00 /lib/systemd/systemd --user
aaryan       521     520  0 16:00 ?        00:00:00 (sd-pam)
aaryan       532     471  0 16:00 pts/1    00:00:00 -bash
root       76999       1  0 18:27 ?        00:00:00 /usr/libexec/packagekitd
